Carimbo de data/hora;Título;Descrição;Data;Ficheiros;Tipo
12/26/2024 18:35:11;;No fim de semana de 15 e 16 de junho todos os nossos escalões estiveram presentes na praia da Foz do Lizando, na Ericeira, no torneio Beach Rugby.;15/06/2024;https://drive.google.com/open?id=17oDyecY0Vm6TxMQQ2s6v7RCcxARi83-U, https://drive.google.com/open?id=1a0V6_a9bfyJlpmmUzAGaHq2QUeJ848cs, https://drive.google.com/open?id=1zut8aXeYq4aE26joiUSIlFA2B6tZjngI, https://drive.google.com/open?id=1xRRBPx3LwEaPVg76JJJkiB6_1tMA5n4f, https://drive.google.com/open?id=1T0TLzqkxQfAJL9gZmPY3GGuzEo9m6uTc;Jogo
12/26/2024 18:41:25;;No dia 21 de junho, estivemos presentes na Casa Pia Atlético Clube, no Alto da Boavista, para um treino diferente. Os nossos atletas, de todos os escalões, tiveram a oportunidade de experimentar rugby adaptado a cadeira de rodas.;21/06/2024;https://drive.google.com/open?id=1rM0BWLwJQnbMJLMqwV3phATTVvZe-w4C;Atividade
12/26/2024 18:42:53;;No dia 22 de junho, estivemos presentes nas Manhãs Desportivas, no Campo de Futebol da Tapada. ;22/06/2024;https://drive.google.com/open?id=1Wa38X0uQ_7WeSFd9Y081UDYONiOX_rkl;Atividade
12/26/2024 18:49:44;;Assim chegámos ao final de mais uma época, com objetivos atingidos, dentro e fora de campo e tal como é de costume, para celebrar, realizou-se o jantar de final de época no restaurante Estrela do Minho, em Mem Martins, onde também se realizou a nossa entrega de prémios.;28/06/2024;https://drive.google.com/open?id=1cwjuRriCUf9_5I_OAV7Yloim_YphTQNq;Atividade
12/26/2024 18:53:55;;Neste dia a AUR este presente para um dia de Desporto na Praia, com o apoio da câmara de Sintra, na praia das maçãs. ;03/07/2024;https://drive.google.com/open?id=1HrkMBI0Zhxwqsz5q4CHM2ankW9cHlvu1;Atividade
12/26/2024 18:57:19;;Neste dia a Academia esteve presente na Colónia de Férias da Junta de Freguesia de Algueirão-Mem Martins, na escola Visconde Juromenha, onde se lecionou, a crianças, atividades relacionadas com a iniciação ao rugby.;04/07/2024;https://drive.google.com/open?id=132-Nq64FBS0x5lCxv_sqE1hE0lzsIWPY;Atividade
12/26/2024 18:59:25;;Nos dias 5, 6 e 7 de julho estivemos presentes na IV Feiras das Instituições, em Rio de Mouro. ;05/07/2024;https://drive.google.com/open?id=1fVhMjYSBT6fG4J5LULq2h748YrKq0NN7;Atividade
12/26/2024 19:02:01;;"Neste dia estivemos presentes em Rio de Mouro para uma reunião sobre o projeto ""Movimento Tag"", fundado pela nossa atleta e treinadora, Ana Sofia Costa. ";12/07/2024;https://drive.google.com/open?id=1ptXuS7Tc5JX47kaOCl29cRVWeK8PaNZL;Atividade
12/26/2024 19:06:29;;A AUR esteve presente no evento Sintra + Ativa, na Serra das Minas, onde foi feita uma atividade de iniciação ao rugby para crianças.;13/07/2024;https://drive.google.com/open?id=1dLX1LQMNGLxMZ1rCb-zw12cnmD7ovMQB;Atividade
12/26/2024 19:32:41;;Estivemos presentes nas Férias Desportivas em Sintra, na Praia das Maçãs, onde realizamos uma iniciação ao rugby.;17/07/2024;https://drive.google.com/open?id=1K6w9372SymbpEGBlBAp8NdA4VxeluviL;Atividade
12/26/2024 19:36:52;;Estivemos presentes, mais uma vez, para dar iniciação ao rugby, nas Colónias de férias da Junta de Freguesia de Algueirão-Mem Martins, desta vez, na escola Mestre Domingos Saraiva e na Escola Visconde Juromenha.;18/07/2024;https://drive.google.com/open?id=1k0gzFiDagn6osZOK2dz0gGh0kD70xnSl;Atividade
12/26/2024 19:39:18;;Neste dia estivemos presentes, no Desporto na Praia da Câmara de Sintra, na praia das maçãs, onde estivemos a lecionar um treino aberto a quem estivesse na praia. ;20/07/2024;https://drive.google.com/open?id=1sDrhwH-uOgUkOTOUoA-4HHavPWC-uWim;Atividade
12/26/2024 19:42:15;;Neste dia estivemos presentes no campo de futebol, do Parque Urbano de Casal de Cambra, para iniciação ao rugby em prol das Férias Desportivas em Sintra.;23/07/2024;;Atividade
12/26/2024 19:46:09;;Neste dia iniciou-se um novo projeto, em Rio de Mouro, o Movimento Tag, que visa a promover junto da faixa etária idosa o Tag Rugby adaptado e jogado a andar.;24/07/2024;https://drive.google.com/open?id=1Vf0b-_OZs0frLnPbGktVAjsHBG1FSJMf;Atividade
12/26/2024 19:47:32;;Para dar mais uma iniciação ao rugby, estivemos nas Colónias de férias da Junta de Freguesia de Algueirão-Mem Martins, na Escola Visconde Juromenha.;25/07/2024;;Atividade
12/26/2024 19:49:59;;"Neste dia também estivemos presentes na Escola da Serra das Minas nº1, para o projeto ""Pontes de Verão"", para iniciação ao rugby. ";25/07/2024;https://drive.google.com/open?id=1piS8AJ2NIBEoP6OTGViZW-7EYgSLyzjB;Atividade
